timestamp_msk,amount,currency
2026-05-01T22:50:36.378096+03:00,71015.26,RUB
2026-05-01T23:01:06.928400+03:00,71015.26,RUB
2026-05-01T23:28:56.967586+03:00,71015.26,RUB
2026-05-01T23:35:26.654710+03:00,71015.26,RUB
2026-05-01T23:51:14.886659+03:00,71015.26,RUB
2026-05-02T00:39:15.090295+03:00,71015.26,RUB
2026-05-02T01:36:12.402572+03:00,71015.26,RUB
2026-05-02T02:37:51.148127+03:00,71015.26,RUB
2026-05-02T04:19:05.740783+03:00,71015.26,RUB
2026-05-02T07:44:43.680976+03:00,71015.26,RUB
2026-05-02T09:32:42.327077+03:00,71015.26,RUB
2026-05-02T11:13:56.839486+03:00,71015.26,RUB
2026-05-02T12:35:58.835362+03:00,71015.26,RUB
2026-05-02T13:36:07.963795+03:00,71015.26,RUB
2026-05-02T14:33:06.499560+03:00,71015.26,RUB
2026-05-02T15:36:44.025722+03:00,71015.26,RUB
2026-05-02T17:00:41.606429+03:00,71015.26,RUB
2026-05-02T18:06:51.066488+03:00,71015.26,RUB
2026-05-02T19:02:15.325756+03:00,71015.26,RUB
2026-05-02T20:08:12.144292+03:00,71015.26,RUB
2026-05-02T21:03:33.967277+03:00,71015.26,RUB
2026-05-02T22:19:35.164747+03:00,71015.26,RUB
2026-05-02T23:05:55.645284+03:00,71015.26,RUB
2026-05-03T00:01:25.659815+03:00,71015.26,RUB
2026-05-03T01:00:46.698356+03:00,71015.26,RUB
2026-05-03T02:03:57.285073+03:00,71015.26,RUB
2026-05-03T03:02:26.113015+03:00,71015.26,RUB
2026-05-03T07:13:05.725101+03:00,71015.26,RUB
2026-05-03T09:43:15.122058+03:00,71015.26,RUB
2026-05-03T11:28:08.745715+03:00,71015.26,RUB
2026-05-03T12:52:17.301001+03:00,71015.26,RUB
2026-05-03T13:58:56.011775+03:00,71015.26,RUB
2026-05-03T14:54:17.488054+03:00,71015.26,RUB
2026-05-03T16:27:02.905622+03:00,71015.26,RUB
2026-05-03T17:31:02.393837+03:00,71015.26,RUB
2026-05-03T18:33:24.912704+03:00,71015.26,RUB
2026-05-03T19:31:40.406081+03:00,71015.26,RUB
2026-05-03T20:34:19.117784+03:00,71015.26,RUB
2026-05-03T21:36:51.125298+03:00,71015.26,RUB
2026-05-03T22:42:32.967786+03:00,71015.26,RUB
2026-05-03T23:27:15.505034+03:00,71015.26,RUB
2026-05-04T00:23:20.228885+03:00,71015.26,RUB
2026-05-04T01:08:35.410635+03:00,71015.26,RUB
