timestamp_msk,amount,currency
2026-05-01T22:50:36.378096+03:00,71015.26,RUB
2026-05-01T23:01:06.928400+03:00,71015.26,RUB
2026-05-01T23:28:56.967586+03:00,71015.26,RUB
2026-05-01T23:35:26.654710+03:00,71015.26,RUB
2026-05-01T23:51:14.886659+03:00,71015.26,RUB
2026-05-02T00:39:15.090295+03:00,71015.26,RUB
2026-05-02T01:36:12.402572+03:00,71015.26,RUB
2026-05-02T02:37:51.148127+03:00,71015.26,RUB
2026-05-02T04:19:05.740783+03:00,71015.26,RUB
2026-05-02T07:44:43.680976+03:00,71015.26,RUB
2026-05-02T09:32:42.327077+03:00,71015.26,RUB
2026-05-02T11:13:56.839486+03:00,71015.26,RUB
2026-05-02T12:35:58.835362+03:00,71015.26,RUB
